License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
August 11 2013,951542,Mickie,Dog,Terrier; Jack Russell,,98105
August 22 2013,951635,Marley,Dog,Retriever; Labrador,,98178
December 02 2013,138179,Sadie,Dog,Retriever; Labrador,Mix,98125
September 23 2013,17864,Buddy Love,Dog,German Shepherd,Mix,98116
August 08 2013,78717,Po Chi,Dog,Shepherd,Mix,98107
September 18 2013,127781,Skwee,Cat,Domestic Longhair,,98119
August 20 2013,79320,Foster,Dog,Spaniel; English Springer,,98146
September 05 2013,124496,Kitty,Cat,Domestic Medium Hair,,98117
November 20 2013,205634,Bernie,Dog,Terrier; Airedale,,98136
September 22 2013,202896,Mac Sa Million,Cat,Domestic Longhair,,98199
August 22 2013,345744,Snow White,Cat,Domestic Shorthair,,98177
December 02 2013,351622,Indie,Dog,Retriever; Golden,,98133
August 08 2013,949591,Hero,Cat,Abyssinian,Mix,98117
September 04 2013,358725,Moose,Dog,Mastiff,,98115
September 24 2013,132646,Missy,Dog,Maltese,,98104
September 18 2013,139862,Danny,Dog,Retriever; Labrador,,98112
September 08 2013,954794,Benny,Dog,Chihuahua; Short Coat,Poodle; Miniature,98101
September 15 2013,352910,Cindy,Dog,Australian Cattle Dog,Mix,98107
September 17 2013,955283,Elenore,Dog,Spaniel; American Cocker,Poodle; Miniature,98119
October 23 2013,17140,Poppy,Cat,Domestic Longhair,,98103
December 23 2013,943983,Jasmin,Cat,Domestic Shorthair,,98101
August 13 2013,26700,Baxter,Dog,Retriever; Labrador,Chow Chow,98115
August 06 2013,27333,Tango,Dog,German Shepherd,Australian Cattle Dog,98106
December 17 2013,21806,Max,Cat,Himalayan,,98103
August 14 2013,81662,Molly,Dog,Retriever; Labrador,Australian Shepherd,98117
September 11 2013,81315,Mister G,Dog,Terrier; West Highland White,, 
August 06 2013,76979,Eli,Dog,Australian Shepherd,,98105
December 05 2013,82241,Roxy,Dog,Terrier; Yorkshire,,98125
August 15 2013,137917,Marguerita,Dog,Spaniel; American Cocker,Mix,98112
October 29 2013,207455,Kiwi,Dog,Terrier; Yorkshire,,98103
September 16 2013,207490,Sheila,Dog,Terrier; Rat,,98177
September 18 2013,134365,Coco,Dog,Spaniel; Cavalier King Charles,,98122
August 15 2013,130086,Mika,Dog,Dachshund; Miniature Smooth Haired,, 
July 12 2013,282292,Rayne,Dog,Retriever; Labrador,,98107
August 12 2013,276079,Rex,Dog,Poodle; Standard,,98126
September 03 2013,275729,Buddy,Dog,Retriever; Labrador,,98115
